# source	GeoNames (https://www.geonames.org) — CC BY 4.0
# généré par	scripts/build-chad-geography.mjs
# colonnes	kind puis champs propres au niveau — voir docs/chad-geography-sources.md
P	01	Batha	إقليم البطحة	2435899
P	02	Wadi Fira	إقليم وادي فيرا	244877
P	05	Guéra	إقليم قيرا	2431555
P	06	Kanem	منطقة كانم	2430873
P	07	Lac	إقليم البحيرة	2429323
P	08	Logone Occidental	إقليم لوقون الغربي	2429060
P	09	Logone Oriental	إقليم لوقون الشرقي	2429058
P	12	Ouadaï	إقليم واداي	242246
P	13	Salamat	إقليم سلامات	242048
P	14	Tandjilé	إقليم تانجيلي	2425287
P	15	Chari-Baguirmi	شاري باقرمي	2434478
P	16	Mayo-Kebbi Est	إقليم مايو كيبي الشرقي	2428132
P	17	Moyen-Chari	إقليم شاري الأوسط	2427315
P	18	Hadjer-Lamis	ولاية حجر لميس	7603251
P	19	Mandoul	ولاية ماندول	7603252
P	20	Mayo-Kebbi Ouest	إقليم مايو كيبي الغربي	7603253
P	21	N’Djaména	انجمينا	7603254
P	22	Barh el Gazel	ولاية بحر الغزال	7603255
L	241625	02		Togoulé		LOCALITY	15.03333	22	
L	241626	02		Togoulé		LOCALITY	14.97945	21.88318	
L	241628	02		Togologon		LOCALITY	14.49771	21.45346	
L	241630	13		Tognogol II		LOCALITY	11.55	20.98333	
L	241633	25		Todou		LOCALITY	11.62349	22.48106	
L	241638	02		Titirga		LOCALITY	15.21667	21.6	
L	241640	12		Titir		LOCALITY	14.11372	20.81251	
L	241641	25		Tisbarra		LOCALITY	11.93333	22.48333	
L	241642	12		Tirlili		LOCALITY	13.52248	21.69118	
L	241643	12		Tirti	ترتي	LOCALITY	13.33724	21.95029	
L	241644	12		Tirlanga		LOCALITY	13.70901	21.81212	
L	241646	13		Tirguil		LOCALITY	10.07682	21.17965	
L	241648	25		Tirene		LOCALITY	12.78333	20.61667	
L	241649	12		Tiré		LOCALITY	13.82704	20.68059	
L	241652	01		Tiouay		LOCALITY	13.23652	20.26373	
L	241653	12		Tiongoré		LOCALITY	13.39004	21.62637	
L	241656	25		Tiney Am Chalakh		LOCALITY	12.71667	20.73333	
L	241657	25		Tiney		LOCALITY	12.71667	20.75	
L	241662	02		Tiné		LOCALITY	15.01667	22.78333	
L	241663	12		Tiné		LOCALITY	13.99443	21.99369	
L	241665	12		Tin		LOCALITY	13.11097	21.68679	
L	241667	12		Timet		LOCALITY	13.48482	20.59142	
L	241669	25		Timbidja		LOCALITY	12.36667	22.31667	
L	241670	02		Tilka		LOCALITY	14.89209	21.17441	
L	241671	12		Tiling		LOCALITY	13.47667	21.98411	
L	241672	12		Tilina		LOCALITY	13.48926	20.44734	
L	241673	02		Tiléba		LOCALITY	15.5	21.83333	
L	241674	12		Tila		LOCALITY	13.08303	20.86526	
L	241675	02		Tiktiké		LOCALITY	14.29568	21.3462	
L	241676	12		Tikira		LOCALITY	13.73621	21.65128	
L	241678	25		Tiengérisié		LOCALITY	12.18333	21.58333	
L	241681	12		Tibiné		LOCALITY	14.14695	20.15908	
L	241684	02		Teouel		LOCALITY	14.48039	21.47274	
L	241685	02		Téssouel		LOCALITY	14.34568	21.46144	
L	241687	25		Tésou Kébir		LOCALITY	12.23333	21.75	
L	241691	02		Tériba		LOCALITY	15.11667	22.58333	
L	241695	02		Térédina		LOCALITY	14.45102	21.73431	
L	241701	12		Téouangué		LOCALITY	13.92191	21.67485	
L	241703	25		Tengarissé		LOCALITY	12.23333	21.58333	
L	241704	12		Ténériguinèz		LOCALITY	13.83488	21.46967	
L	241705	12		Ténéri		LOCALITY	13.76	21.55601	
L	241706	12		Téné		LOCALITY	13.15113	21.02479	
L	241707	25		Tendelti		LOCALITY	12.6	22.13333	
L	241708	12		Ténan		LOCALITY	13.2783	20.98162	
L	241710	25		Temere		LOCALITY	12.43333	20.15	
L	241711	12		Tembéli		LOCALITY	13.06115	21.84801	
L	241720	02		Télibé		LOCALITY	14.83333	22.11667	
L	241722	25		Télésa		LOCALITY	12.05	22.53333	
L	241733	12		Téguéré Derta		LOCALITY	13.2894	21.92211	
L	241734	25		Tédji		LOCALITY	11.7799	21.4557	
L	241737	25		Tébésa		LOCALITY	12.46667	21.65	
L	241741	12		Tchoukouma		LOCALITY	14.19661	20.7344	
L	241742	13		Tchoukara		LOCALITY	11.3377	20.82239	
L	241743	25		Tchokio		LOCALITY	12	20.9	
L	241745	12		Tchigchika		LOCALITY	13.71806	20.56945	
L	241747	25		Tcharo		LOCALITY	12.28333	21.53333	
L	241748	13		Tchalak		LOCALITY	11.46531	20.10542	
L	241749	12		Tchakavak		LOCALITY	12.96667	21.06667	
L	241750	12		Tchakatour		LOCALITY	13	21.61667	
L	241752	02		Tazéré		LOCALITY	14.78652	20.7169	
L	241754	12		Taouilé		LOCALITY	14.10159	21.40404	
L	241755	12		Tawéign		LOCALITY	13.35009	21.91779	
